ItemID,Quality,Ilvl,Req Lvl,Name
728,1,15,0,Recipe: Westfall Stew
729,0,10,0,Stringy Vulture Meat
730,0,11,0,Murloc Eye
731,0,12,0,Goretusk Snout
732,0,10,0,Ripe Okra
733,1,15,15,Westfall Stew
734,1,1,0,Deprecated Malakai's Medallion
735,1,1,0,Rolf and Malakai's Medallions
737,1,1,0,Holy Spring Water
738,1,1,0,Sack of Barley
739,1,1,0,Sack of Corn
740,1,1,0,Sack of Rye
742,1,1,0,A Sycamore Branch
743,1,1,0,Bundle of Charred Oak
744,2,44,0,Thunderbrew's Boot Flask
745,1,1,0,Marshal McBride's Documents
748,1,1,0,Stormwind Armor Marker
750,1,1,0,Tough Wolf Meat
752,1,1,0,Red Burlap Bandana
753,2,28,23,Dragonmaw Shortsword
754,3,47,42,Shortsword of Vengeance
755,0,1,0,Melted Candle
756,2,29,24,Tunnel Pick
763,1,12,7,Ice-Covered Bracers
765,1,5,0,Silverleaf
766,1,7,2,Flanged Mace
767,1,8,3,Long Bo Staff
768,1,9,4,Lumberjack Axe
769,1,5,0,Chunk of Boar Meat
770,0,1,0,Pointy Crocolisk Tooth
771,0,1,0,Chipped Boar Tusk
772,1,1,0,Large Candle
773,1,1,0,Gold Dust
774,2,7,0,Malachite
776,3,35,30,Vendetta
777,0,1,0,Prowler Teeth
778,1,7,2,Kobold Excavation Pick
779,0,1,0,Shiny Seashell
780,1,1,0,Torn Murloc Fin
781,1,9,4,Stone Gnoll Hammer
782,1,1,0,Painted Gnoll Armband
783,1,10,0,Light Hide
785,1,10,0,Mageroyal
787,1,1,1,Slitherskin Mackerel
789,2,22,17,Stout Battlehammer
790,2,23,18,Forester's Axe
791,3,31,26,Gnarled Ash Staff
792,1,10,5,Knitted Sandals
793,1,10,5,Knitted Gloves
794,1,10,5,Knitted Pants
795,1,10,5,Knitted Tunic
796,1,10,5,Rough Leather Boots
797,1,10,5,Rough Leather Gloves
798,1,10,5,Rough Leather Pants
799,1,10,5,Rough Leather Vest
804,1,25,0,Large Blue Sack
805,1,5,0,Small Red Pouch
809,4,50,45,Bloodrazor
810,4,54,49,Hammer of the Northern Wind
811,4,57,52,Axe of the Deep Woods
812,4,54,49,Glowing Brightwood Staff
813,0,1,0,Broken Cog
814,1,1,0,Flask of Oil
816,2,11,6,Small Hand Blade
818,2,15,0,Tigerseye
820,2,17,12,Slicer Blade
821,2,13,8,Riverpaw Leather Vest
826,2,15,10,Brutish Riverpaw Axe
827,2,17,12,Wicked Blackjack
828,1,5,0,Small Blue Pouch
829,1,1,0,Red Leather Bandana
832,2,15,10,Silver Defias Belt
833,4,56,51,Lifestone
835,1,12,2,Large Rope Net
837,1,17,12,Heavy Weave Armor
838,1,17,12,Heavy Weave Pants
839,1,17,12,Heavy Weave Gloves
840,1,17,12,Heavy Weave Shoes
841,1,1,0,Furlbrow's Pocket Watch
843,1,17,12,Tanned Leather Boots
844,1,17,12,Tanned Leather Gloves
845,1,17,12,Tanned Leather Pants
846,1,17,12,Tanned Leather Jerkin
847,1,17,12,Chainmail Armor
848,1,17,12,Chainmail Pants
849,1,17,12,Chainmail Boots
850,1,17,12,Chainmail Gloves
851,1,15,10,Cutlass
852,1,14,9,Mace
853,1,16,11,Hatchet
854,1,16,11,Quarter Staff
856,1,15,0,Blue Leather Bag
857,1,25,0,Large Red Sack
858,1,13,3,Lesser Healing Potion
859,1,1,0,Fine Cloth Shirt
860,1,13,0,Cavalier's Boots
862,3,49,45,Runed Ring
863,2,37,32,Gloom Reaper
864,2,38,33,Knightly Longsword
865,2,31,26,Leaden Mace
866,2,42,37,Monk's Staff
867,4,42,37,Gloves of Holy Might
868,4,43,38,Ardent Custodian
869,4,41,36,Dazzling Longsword
870,4,40,35,Fiery War Axe
871,4,47,42,Flurry Axe
872,3,20,15,Rockslicer
873,4,40,35,Staff of Jordan
876,1,1,1,Worn Wooden Buckler
878,0,20,0,Fist-Sized Spinneret
880,2,23,18,Staff of Horrors
884,1,1,0,Ghoul Rib
885,2,24,19,Black Metal Axe
887,0,25,0,Pound of Flesh
888,3,25,20,Naga Battle Gloves
889,1,1,0,A Dusty Unsent Letter
890,3,24,19,Twisted Chanter's Staff
892,2,22,17,Gnoll Casting Gloves
893,0,1,0,Dire Wolf Fang
895,1,1,0,Worgen Skull
896,1,1,0,Worgen Fang
897,2,29,24,Madwolf Bracers
899,2,19,14,Venom Web Fang
900,1,1,1,Deprecated Nightmare Summoning (Mount)
910,1,1,0,An Undelivered Letter
911,2,25,20,Ironwood Treebranch
913,2,29,24,Huge Ogre Sword
914,2,30,25,Large Ogre Chain Armor
915,1,1,0,Red Silk Bandana
916,1,1,0,A Torn Journal Page
918,1,25,0,Deviate Hide Pack
920,2,25,20,Wicked Spiked Mace
921,1,1,0,A Faded Journal Page
922,1,26,21,Dacian Falx
923,1,26,21,Longsword
924,1,26,21,Maul
925,1,25,20,Flail
926,1,25,20,Battle Axe
927,1,24,19,Double Axe
928,1,25,20,Long Staff
929,1,22,12,Healing Potion
931,1,25,0,Deprecated Heavy Brown Sack
932,1,25,0,Fel Steed Saddlebags
933,1,25,0,Large Rucksack
934,3,37,32,Stalvan's Reaper
935,3,20,15,Night Watch Shortsword
936,3,38,33,Midnight Mace
937,3,38,33,Black Duskwood Staff
938,1,1,0,Muddy Journal Pages
939,1,1,0,A Bloodstained Journal Page
940,4,47,42,Robes of Insight
942,4,52,47,Freezing Band
943,4,48,43,Warden Staff
944,4,61,56,Elemental Mage Staff
954,1,1,1,Scroll of Strength
955,1,1,1,Scroll of Intellect
956,1,1,0,Deprecated Area Trigger Flag - Jasperlode mine
957,1,1,0,William's Shipment
958,1,1,0,Deprecated Area Trigger Flag - Darkhollow Mine
960,1,1,0,Deprecated Area Trigger Flag - Fargodeep
961,1,5,0,Healing Herb
962,1,1,0,Pork Belly Pie
981,1,1,0,Bernice's Necklace
983,2,10,0,Red Linen Sash
996,1,2,1,Ring of Righteous Flame (TEST)
1006,1,1,0,Brass Collar
1008,1,10,0,Well-Used Sword
1009,2,13,0,Compact Hammer
1010,1,7,0,Gnarled Short Staff
1011,1,7,0,Sharp Axe
1013,1,1,0,Iron Rivet
1014,1,1,0,Large Moneybag (old)
1015,1,19,0,Lean Wolf Flank
1017,1,15,15,Seasoned Wolf Kabob
1019,1,1,0,Linen Scrap
1020,1,1,1,Leather Helmet D (Test)
1021,1,1,1,Leather Helmet A (test)
1024,1,1,1,Plate Helmet D2 (test)
1025,1,1,1,Plate Helmet D1 (Test)
1027,1,1,1,Mail Helmet A (Test)
1028,0,20,15,Deprecated Dented Skullcap
1074,0,1,0,Hard Spider Leg Tip
1075,1,1,0,Shadowhide Pendant
1076,2,25,20,Defias Renegade Ring
1077,2,26,21,Defias Mage Ring
1080,1,15,0,Tough Condor Meat
1081,0,15,0,Crisp Spider Meat
1082,1,15,15,Redridge Goulash
1083,1,1,0,Glyph of Azora
1113,1,5,5,Conjured Bread
1114,1,15,15,Conjured Rye
1116,2,31,0,Ring of Pure Silver
1121,3,24,19,Feet of the Lynx
1127,1,20,0,Flash Bundle
1129,1,1,0,Ghoul Fang
1130,1,1,0,Vial of Spider Venom
1131,2,25,0,Totem of Infliction
1132,3,20,20,Horn of the Timber Wolf
1154,1,14,0,Belt of the People's Militia
1155,3,25,20,Rod of the Sleepwalker
1156,3,20,15,Lavishly Jeweled Ring
1158,2,10,0,Solid Metal Club
1159,1,4,0,Militia Quarterstaff
1161,1,4,0,Militia Shortsword
1162,1,10,5,Pirates Patch (Test)
1166,1,5,1,Dented Buckler
1167,1,10,5,Small Targe
1168,4,59,54,Skullflame Shield
1169,4,46,41,Blackskull Shield
1171,2,10,0,Well-Stitched Robe
1172,2,21,0,Grayson's Torch
1173,1,10,0,Weather-Worn Boots
1175,0,1,0,A Gold Tooth
1177,1,8,0,Oil of Olaf
1178,1,8,0,Explosive Rocket
1179,1,5,5,Ice Cold Milk
1180,1,1,1,Scroll of Stamina
1181,1,1,1,Scroll of Spirit
1182,1,10,0,Brass-Studded Bracers
1183,2,10,0,Elastic Wristguards
1187,2,30,20,Spiked Collar
1189,2,20,15,Overseer's Ring
1190,2,20,15,Overseer's Cloak
1191,1,8,0,Bag of Marbles
1192,0,20,15,Deprecated Overseer's Helm
1193,1,17,12,Banded Buckler
1194,1,4,1,Bastard Sword
1195,1,6,3,Kobold Mining Shovel
1196,1,14,9,Tabar
1197,1,15,10,Giant Mace
1198,1,15,10,Claymore
1200,1,5,1,Large Wooden Shield
1201,1,10,5,Dull Heater Shield
1202,1,17,12,Wall Shield
1203,3,54,49,Aegis of Stormwind
1204,4,41,36,The Green Tower
1205,1,15,15,Melon Juice
1206,2,25,0,Moss Agate
1207,2,39,34,Murphstar
1208,1,1,0,Maybell's Love Letter
1210,2,20,0,Shadowgem
1211,2,15,10,Gnoll War Harness
1212,0,15,0,Gnoll Spittle
1213,1,14,9,Gnoll Kindred Bracers
1214,2,17,12,Gnoll Punisher
1215,2,22,17,Support Girdle
1217,1,1,0,Unknown Reward
1218,2,21,16,Heavy Gnoll War Club
1219,2,16,11,Redridge Machete
1220,2,20,15,Lupine Axe
1221,1,1,0,Underbelly Whelp Scale
1222,0,1,0,Broken Tooth
1251,1,1,0,Linen Bandage
1252,1,1,0,Gramma Stonefield's Note
1256,1,1,0,Crystal Kelp Frond
1257,1,1,0,Invisibility Liquor
1259,0,19,0,JLeCraft Test Item
1260,1,1,0,Tharil'zun's Head
1261,1,1,0,Midnight Orb
1262,1,15,0,Keg of Thunderbrew Lager
1263,4,60,55,Brain Hacker
1264,2,26,0,Headbasher
1265,3,39,34,Scorpion Sting
1270,2,15,0,Finely Woven Cloak
1273,2,25,0,Forest Chain
1274,0,1,0,Hops
1275,2,25,0,Deputy Chain Coat
1276,2,27,0,Fire Hardened Buckler
1280,2,38,33,Cloaked Hood
1282,2,33,0,Sparkmetal Coif
1283,1,1,0,Verner's Note
1284,1,1,0,Crate of Horseshoes
1287,2,15,10,Giant Tarantula Fang
1288,1,1,0,Large Venom Sac
1292,3,21,16,Butcher's Cleaver
1293,1,1,0,The State of Lakeshire
1294,1,1,0,The General's Response
1296,2,21,16,Blackrock Mace
1297,2,31,26,Robes of the Shadowcaster
1299,2,22,17,Lesser Belt of the Spire
1300,2,20,15,Lesser Staff of the Spire
1302,2,18,0,Black Whelp Gloves
1303,2,20,0,Bridgeworker's Gloves
1304,2,20,0,Riding Gloves
1306,2,20,0,Wolfmane Wristguards
1307,1,7,7,Gold Pickup Schedule
1309,1,1,0,Oslow's Toolbox
1310,2,20,0,Smith's Trousers
1314,2,20,15,Ghoul Fingers
1315,4,51,46,Lei of Lilies
1317,2,25,0,Hardened Root Staff
1318,3,23,18,Night Reaver
1319,2,25,0,Ring of Iron Will
1322,1,21,0,Fishliver Oil
1325,1,1,0,Daffodil Bouquet
1326,1,5,5,Sauteed Sunfish
1327,1,1,0,Wiley's Note
1349,1,1,0,Abercrombie's Crate
1351,2,28,23,Fingerbone Bracers
1352,1,22,12,Cracked Skull Mortar
1353,1,1,0,Shaw's Report
1355,2,15,10,Buckskin Cape
1356,1,1,0,Commendation - Elwynn Forest
1357,1,13,9,Captain Sanders' Treasure Map
1358,1,1,0,A Clue to Sanders' Treasure
1359,1,8,0,Lion-Stamped Gloves
1360,2,10,0,Stormwind Chain Gloves
1361,1,1,0,Another Clue to Sanders' Treasure
1362,1,1,0,Final Clue to Sanders' Treasure
1363,0,15,0,Deprecated Captain Sanders' Eyepatch
1364,0,5,1,Ragged Leather Vest
1366,0,2,1,Ragged Leather Pants
1367,0,3,1,Ragged Leather Boots
1368,0,4,1,Ragged Leather Gloves
1369,0,5,1,Ragged Leather Belt
1370,0,4,1,Ragged Leather Bracers
1372,0,3,1,Ragged Cloak
1374,0,4,1,Frayed Shoes
1376,0,5,1,Frayed Cloak
1377,0,3,1,Frayed Gloves
1378,0,2,1,Frayed Pants
1380,0,4,1,Frayed Robe
1381,1,1,0,A Mysterious Message
1382,1,5,0,Rock Mace
1383,1,5,0,Stone Tomahawk
1384,1,3,1,Dull Blade
1386,1,5,0,Thistlewood Axe
1387,2,19,14,Ghoulfang
1388,1,3,1,Crooked Staff
1389,1,7,2,Kobold Mining Mallet
1391,2,18,13,Riverpaw Mystic Staff
1394,2,15,10,Driftwood Club
1395,1,1,1,Apprentice's Pants
1396,1,1,1,Acolyte's Pants
1399,1,8,1,Magic Candle
1401,1,4,4,Riverpaw Tea Leaf
1404,2,41,36,Tidal Charm
1405,2,17,12,Foamspittle Staff
1406,2,21,20,Pearl-Encrusted Spear
1407,1,1,0,Solomon's Plea to Westfall
1408,1,1,0,Stoutmantle's Response to Solomon
1409,1,1,0,Solomon's Plea to Darkshire
1410,1,1,0,Ebonlocke's Response to Solomon
1411,0,8,3,Withered Staff
1412,0,7,2,Crude Bastard Sword
1413,0,8,3,Feeble Sword
1414,0,9,4,Cracked Sledge
1415,0,9,4,Carpenter's Mallet
1416,0,9,4,Rusty Hatchet
1417,0,8,3,Beaten Battle Axe
1418,0,7,2,Worn Leather Belt
1419,0,8,3,Worn Leather Boots
1420,0,9,4,Worn Leather Bracers
1421,0,10,5,Worn Hide Cloak
1422,0,6,1,Worn Leather Gloves
1423,0,7,2,Worn Leather Pants
1425,0,9,4,Worn Leather Vest
1427,0,10,5,Patchwork Shoes
1429,0,6,1,Patchwork Cloak
1430,0,7,2,Patchwork Gloves
1431,0,8,3,Patchwork Pants
1433,0,7,2,Patchwork Armor
1434,1,7,0,Glowing Wax Stick
1436,2,17,0,Frontier Britches
1438,1,9,4,Warrior's Shield
1440,2,19,14,Gnoll Skull Basher
1443,4,60,55,Jeweled Amulet of Cainwyn
1445,1,23,18,Blackrock Pauldrons
1446,2,19,14,Blackrock Boots
1447,4,46,41,Ring of Saviors
1448,2,20,15,Blackrock Gauntlets
1449,2,24,0,Minor Channeling Ring
1450,1,25,15,Potion of Fervor
1451,1,1,0,Bottle of Zombie Juice
1453,1,1,0,Spectral Comb
1454,3,25,20,Axe of the Enforcer
1455,2,24,19,Blackrock Champion's Axe
1457,2,22,17,Shadowhide Mace
1458,2,23,18,Shadowhide Maul
1459,2,24,19,Shadowhide Scalper
1460,2,20,15,Shadowhide Two-Handed Sword
1461,2,25,20,Slayer's Battle Axe
1462,2,25,20,Ring of the Shadow
1464,0,1,0,Buzzard Talon
1465,2,38,33,Tigerbane
1467,1,1,0,Spotted Sunfish
1468,1,16,0,Murloc Fin
1469,2,19,14,Scimitar of Atun
1470,1,25,0,Murloc Skin Bag
1473,2,19,14,Riverside Staff
1475,1,1,0,Small Venom Sac
1476,0,1,0,Snapped Spider Limb
1477,1,15,15,Scroll of Agility II
1478,1,15,15,Scroll of Protection II
1479,1,12,0,Salma's Oven Mitts
1480,2,17,0,Fist of the People's Militia
1481,3,25,20,Grimclaw
1482,3,24,19,Shadowfang
1483,3,21,16,Face Smasher
1484,3,21,16,Witching Stave
1485,0,25,20,Pitchfork
1486,3,25,20,Tree Bark Jacket
1487,1,25,25,Conjured Pumpernickel
1488,3,35,30,Avenger's Armor
1489,3,21,16,Gloomshroud Armor
1490,2,50,0,Guardian Talisman
1491,3,25,20,Ring of Precision
1493,3,27,22,Heavy Marauder Scimitar
1495,0,13,8,Calico Shoes
1497,0,14,9,Calico Cloak
1498,0,15,10,Calico Gloves
1499,0,11,6,Calico Pants
1501,0,13,8,Calico Tunic
1502,0,14,9,Warped Leather Belt
1503,0,15,10,Warped Leather Boots
1504,0,11,6,Warped Leather Bracers
1505,0,12,7,Warped Cloak
1506,0,13,8,Warped Leather Gloves
1507,0,14,9,Warped Leather Pants
1509,0,11,6,Warped Leather Vest
1510,0,12,7,Heavy Hammer
1511,0,13,8,Commoner's Sword
1512,0,12,7,Crude Battle Axe
1513,0,14,9,Old Greatsword
1514,0,14,9,Rusty Warhammer
1515,0,12,7,Rough Wooden Staff
1516,0,14,9,Worn Hatchet
1518,1,1,0,Ghost Hair Comb
1519,1,1,0,Bloodscalp Ear
1520,0,1,0,Troll Sweat
1521,2,44,39,Lumbering Ogre Axe
1522,2,36,31,Headhunting Spear
1523,2,36,31,Huge Stone Club
1524,1,1,0,Skullsplitter Tusk
1528,1,1,0,Handful of Oats
1529,2,35,0,Jade
1532,1,1,0,Shrunken Head
1537,1,1,0,Old Blanchy's Feed Pouch
1539,2,19,14,Gnarled Hermit's Staff
1547,2,30,0,Shield of the Faith
1557,2,20,0,Buckler of the Seas
1560,2,21,16,Bluegill Sandals
1561,2,15,0,Harvester's Robe
1566,2,17,0,Edge of the People's Militia
1596,1,1,0,Ghost Hair Thread
1598,1,1,0,Rot Blossom
1602,3,39,34,Sickle Axe
1604,2,45,40,Chromatic Sword
1607,3,54,49,Soulkeeper
1608,2,47,42,Skullcrusher Mace
1613,2,44,39,Spiritchaser Staff
1624,2,43,38,Skullsplitter Helm
1625,2,41,36,Exquisite Flamberge
1630,0,1,0,Broken Electro-Lantern
1637,1,1,0,Letter to Ello
1639,2,49,44,Grinning Axe
1640,2,42,37,Monstrous War Axe
1645,1,35,35,Moonberry Juice
1652,1,35,0,Sturdy Lunchbox
1656,1,1,0,Translated Letter
1659,2,40,35,Engineering Gloves
1664,2,41,36,Spellforce Rod
1672,1,1,0,Deprecated Ogre Head
1677,2,46,41,Drake-Scale Vest
1678,3,37,32,Black Ogre Kickers
1679,2,36,31,Korg Bat
1680,2,44,39,Headchopper
1685,1,45,0,Troll-Hide Bag
1686,0,1,0,Bristly Whisker
1687,0,1,0,Retractable Claw
1688,0,1,0,Long Soft Tail
1696,0,1,0,Curved Raptor Talon
1697,0,1,0,Keen Raptor Tooth
1701,0,1,0,Curved Basilisk Claw
1702,0,1,0,Intact Basilisk Spine
1703,2,1,25,Crystal Basilisk Spine
1705,2,30,0,Lesser Moonstone
1706,0,36,0,Azuredeep Shards
1707,1,25,25,Stormwind Brie
1708,1,25,25,Sweet Nectar
1710,1,31,21,Greater Healing Potion
1711,1,15,15,Scroll of Stamina II
1712,1,15,15,Scroll of Spirit II
1713,3,45,40,Ankh of Life
1714,3,43,38,Necklace of Calisea
1715,3,44,39,Polished Jazeraint Armor
1716,3,40,35,Robe of the Magi
1717,3,30,25,Double Link Tunic
1718,3,43,38,Basilisk Hide Pants
1720,3,46,41,Tanglewood Staff
1721,3,54,49,Viking Warhammer
1722,3,42,37,Thornstone Sledgehammer
1725,1,35,0,Large Knapsack
1726,3,36,31,Poison-Tipped Bone Spear
1727,3,35,30,Sword of Decay
1728,4,65,60,Teebu's Blazing Longsword
1729,1,25,0,Gunnysack of the Night Watch
1730,0,12,7,Worn Mail Belt
1731,0,13,8,Worn Mail Boots
1732,0,14,9,Worn Mail Bracers
1733,0,15,10,Worn Cloak
1734,0,11,6,Worn Mail Gloves
1735,0,12,7,Worn Mail Pants
1737,0,14,9,Worn Mail Vest
1738,0,19,14,Laced Mail Belt
1739,0,20,15,Laced Mail Boots
1740,0,16,11,Laced Mail Bracers
1741,0,17,12,Laced Cloak
1742,0,18,13,Laced Mail Gloves
1743,0,19,14,Laced Mail Pants
1744,0,20,15,Laced Mail Shoulderpads
1745,0,16,11,Laced Mail Vest
1746,0,25,20,Linked Chain Belt
1747,0,21,16,Linked Chain Boots
1748,0,22,17,Linked Chain Bracers
1749,0,23,18,Linked Chain Cloak
1750,0,24,19,Linked Chain Gloves
1751,0,25,20,Linked Chain Pants
1752,0,21,16,Linked Chain Shoulderpads
1753,0,22,17,Linked Chain Vest
1754,0,26,21,Reinforced Chain Belt
1755,0,27,22,Reinforced Chain Boots
1756,0,28,23,Reinforced Chain Bracers
1757,0,29,24,Reinforced Chain Cloak
1758,0,30,25,Reinforced Chain Gloves
1759,0,26,21,Reinforced Chain Pants
1760,0,27,22,Reinforced Chain Shoulderpads
1761,0,28,23,Reinforced Chain Vest
1764,0,17,12,Canvas Shoes
1766,0,18,13,Canvas Cloak
1767,0,19,14,Canvas Gloves
1768,0,20,15,Canvas Pants
1769,0,20,15,Canvas Shoulderpads
1770,0,17,12,Canvas Vest
1772,0,23,18,Brocade Shoes
1774,0,24,19,Brocade Cloak
1775,0,25,20,Brocade Gloves
1776,0,21,16,Brocade Pants
1777,0,22,17,Brocade Shoulderpads
1778,0,23,18,Brocade Vest
1780,0,29,24,Cross-Stitched Sandals
1782,0,30,25,Cross-Stitched Cloak
1783,0,26,21,Cross-Stitched Gloves
1784,0,27,22,Cross-Stitched Pants
1785,0,28,23,Cross-Stitched Shoulderpads
1786,0,29,24,Cross-Stitched Vest
1787,0,18,13,Patched Leather Belt
1788,0,19,14,Patched Leather Boots
1789,0,20,15,Patched Leather Bracers
1790,0,16,11,Patched Cloak
1791,0,17,12,Patched Leather Gloves
1792,0,18,13,Patched Leather Pants
1793,0,20,15,Patched Leather Shoulderpads
1794,0,20,15,Patched Leather Jerkin
1795,0,24,19,Rawhide Belt
1796,0,25,20,Rawhide Boots
1797,0,21,16,Rawhide Bracers
1798,0,22,17,Rawhide Cloak
1799,0,23,18,Rawhide Gloves
1800,0,24,19,Rawhide Pants
1801,0,25,20,Rawhide Shoulderpads
1802,0,21,16,Rawhide Tunic
1803,0,30,25,Tough Leather Belt
1804,0,26,21,Tough Leather Boots
1805,0,27,22,Tough Leather Bracers
1806,0,28,23,Tough Cloak
1807,0,29,24,Tough Leather Gloves
1808,0,30,25,Tough Leather Pants
1809,0,26,21,Tough Leather Shoulderpads
1810,0,27,22,Tough Leather Armor
1811,0,17,12,Blunt Claymore
1812,0,17,12,Short-Handled Battle Axe
1813,0,18,13,Chipped Quarterstaff
1814,0,19,14,Battered Mallet
1815,0,17,12,Ornamental Mace
1816,0,19,14,Unbalanced Axe
1817,0,19,14,Stock Shortsword
1818,0,24,19,Standard Claymore
1819,0,22,17,Gouging Pick
1820,0,22,17,Wooden Maul
1821,0,24,19,Warped Blade
1822,0,23,18,Cedar Walking Stick
1823,0,22,17,Bludgeoning Cudgel
1824,0,23,18,Shiny War Axe
1825,0,28,23,Bulky Bludgeon
1826,0,27,22,Rock Maul
1827,0,27,22,Meat Cleaver
1828,0,27,22,Stone War Axe
1829,0,29,24,Short Cutlass
1830,0,28,23,Long Bastard Sword
1831,0,28,23,Oaken War Staff
1832,2,17,0,Lucky Trousers
1835,1,5,1,Dirty Leather Belt
1836,1,5,1,Dirty Leather Bracers
1839,1,10,5,Rough Leather Belt
1840,1,10,5,Rough Leather Bracers
1843,1,17,12,Tanned Leather Belt
1844,1,17,12,Tanned Leather Bracers
1845,1,17,12,Chainmail Belt
1846,1,17,12,Chainmail Bracers
1849,1,22,17,Cured Leather Belt
1850,1,22,17,Cured Leather Bracers
1852,1,22,17,Scalemail Bracers
1853,1,22,17,Scalemail Belt
1875,1,1,0,Thistlenettle's Badge
1893,3,20,0,Miner's Revenge
1894,1,1,0,Miners' Union Card
1902,0,1,1,"Monster - Mace, Basic Wooden Hammer"
1911,0,1,1,"Monster - Tool, Wrench Small"
1913,1,10,5,Studded Blackjack
1917,2,10,5,Jeweled Dagger
1922,1,1,0,Supplies for Sven
1923,1,1,0,Ambassador's Satchel
1925,3,20,15,Defias Rapier
1926,3,20,15,Weighted Sap
1927,3,20,15,Deadmines Cleaver
1928,3,20,15,Defias Mage Staff
1929,3,25,20,Silk-Threaded Trousers
1930,3,20,15,Stonemason Cloak
1931,1,1,0,Huge Gnoll Claw
1933,3,20,15,Staff of Conjuring
1934,3,25,20,Hogger's Trousers
1935,3,21,16,Assassin's Blade
1936,3,20,15,Goblin Screwdriver
1937,3,20,15,Buzz Saw
1938,2,22,17,Block Mallet
1939,1,1,0,Skin of Sweet Rum
1941,1,1,0,Cask of Merlot
1942,1,1,0,Bottle of Moonshine
1943,3,20,15,Goblin Mail Leggings
1944,3,20,15,Metalworking Gloves
1945,3,20,15,Woodworking Gloves
1946,1,1,0,Mary's Looking Glass
1951,3,20,15,Blackwater Cutlass
1955,2,27,22,Dragonmaw Chain Boots
1956,1,1,0,Faded Shadowhide Pendant
1958,3,20,15,Petrified Shinbone
1959,3,25,20,Cold Iron Pick
1962,1,15,15,Glowing Shadowhide Pendant
1965,1,10,5,White Wolf Gloves
1968,1,1,0,Ogre's Monocle
1970,1,24,0,Restoring Balm
1971,1,1,0,Furlbrow's Deed
1972,1,9,9,Westfall Deed
1973,3,59,54,Orb of Deception
1974,3,21,16,Mindthrust Bracers
1975,3,35,30,Pysan's Old Greatsword
1976,3,35,30,Slaghammer
1978,3,35,30,Wolfclaw Gloves
1979,4,50,45,Wall of the Dead
1980,4,43,38,Underworld Band
1981,4,44,39,Icemail Jerkin
1982,4,44,39,Nightblade
1986,2,41,36,Gutrender
1987,1,1,0,Krazek's Fixed Pot
1988,2,38,33,Chief Brigadier Gauntlets
1990,2,36,31,Ballast Maul
